I saw a dog. | 我看见一只狗。
Tell me about your trip. | 跟我说说你的旅行。
Walk across the bridge. | 从桥上走过去。
Come after lunch. | 午饭后过来。
Try again later. | 待会儿再试。
The ladder leans against the wall. | 梯子靠在墙上。
All children love play. | 所有孩子都爱玩。
It's almost done. | 快做完了。
She is popular among her friends. | 她在朋友中很受欢迎。
Tom and Jerry. | 汤姆和杰瑞。
Do you have any money? | 你有钱吗?
He works as a teacher. | 他当老师。
Meet me at the station. | 在车站见我。
To be or not to be. | 生存还是毁灭。
I'm late because of traffic. | 我迟到是因为堵车。
Wash hands before eating. | 吃饭前先洗手。
Sit between us. | 坐在我们中间。
Small but strong. | 小但强壮。
The book was written by her. | 这本书是她写的。
Come here when you're ready. | 准备好了就过来。
Do your work first. | 先做你的工作。
Sit down, please. | 请坐下。
The sun rises in the east. | 太阳从东方升起。
That's enough food. | 食物够了。
Even a child knows that. | 连小孩都知道。
Have you ever been to Paris? | 你去过巴黎吗?
Every day brings hope. | 每天都带来希望。
How far is the station? | 车站有多远?
This gift is for you. | 这礼物是给你的。
Step forward, please. | 请向前走一步。
I come from China. | 我来自中国。
I'll get a new book tomorrow. | 我明天会买本新书。
Please give me your hand. | 请把手伸给我。
We go to school every day. | 我们每天都去学校。
I have two sisters. | 我有两个姐妹。
He is my brother. | 他是我兄弟。
Come here, please. | 请到这里来。
How do you do it? | 你是怎么做的?
I love reading. | 我喜欢阅读。
If it rains, stay home. | 如果下雨就待在家。
She is in the room. | 她在房间里。
Keep the door open, please. | 请让门开着。
Let me try it once more. | 让我再试一次。
Add a little salt. | 加一点点盐。
She made a cake for us. | 她为我们做了个蛋糕。
You may go now. | 你现在可以走了。
Thank you very much. | 非常感谢你。
He lives near the park. | 他住在公园附近。
No water is left. | 没有水剩下了。
Go north for two miles. | 向北走两英里。
I do not agree. | 我不同意。
Do it now. | 现在就做。
A friend of mine. | 我的一个朋友。
Turn off the light. | 把灯关掉。
The cat is on the chair. | 猫在椅子上。
Only one left. | 只剩一个了。
Tea or coffee? | 茶还是咖啡?
Try the other door. | 试试另一扇门。
Go out and play. | 出去玩吧。
The plane flew over the city. | 飞机飞过城市上空。
Please be quiet. | 请安静。
Put the book on the table. | 把书放在桌上。
It's quite cold today. | 今天相当冷。
What did you say to him? | 你对他说了什么?
I see what you mean. | 我明白你的意思了。
You seem tired today. | 你今天看起来很累。
Send the parcel by post. | 通过邮寄把包裹寄出去。
I'm so tired. | 我太累了。
Have some tea. | 喝点茶吧。
Birds fly south in winter. | 鸟儿冬天飞向南方。
He is still working. | 他还在工作。
Such a kind man! | 多么善良的人啊!
Take this letter to her. | 把这封信带给她。
She is taller than me. | 她比我高。
That book is mine. | 那本书是我的。
The book is on the desk. | 那本书在桌上。
First eat, then sleep. | 先吃饭,然后睡觉。
Sit over there. | 坐到那边去。
This is my house. | 这是我家。
Though tired, she smiled. | 尽管累,她还是笑了。
Walk through the door. | 穿过那扇门。
Wait till noon. | 等到中午。
I'm going to bed. | 我要去睡觉了。
We sing together. | 我们一起唱歌。
See you tomorrow. | 明天见。
The cat hides under the bed. | 猫藏在床下。
Look up at the sky. | 抬头看天空。
She is very kind. | 她非常善良。
She speaks English well. | 她英语说得好。
Drive west to reach the coast. | 向西开就到海岸了。
When did you arrive? | 你什么时候到的?
Where is the key? | 钥匙在哪儿?
Read while you eat. | 边吃边读。
Who is that man? | 那个人是谁?
Why are you sad? | 你为什么难过?
I will help you. | 我会帮你的。
Come with me. | 跟我来。
Yes, I agree. | 是的,我同意。
It rained yesterday. | 昨天下雨了。
You are very kind. | 你真好。
Open a bank account. | 开一个银行账户。
It was a kind act. | 那是个善举。
In addition, she sings. | 此外,她还唱歌。
Make a small adjustment. | 做一点小调整。
I saw the advertisement online. | 我在网上看到了那广告。
We reached an agreement. | 我们达成了协议。
Open the window for fresh air. | 开窗透透气。
A large amount of water. | 大量的水。
To my amusement, he sang. | 令我开心的是他唱歌了。
The dog is a friendly animal. | 狗是友善的动物。
Give me your answer. | 给我你的回答。
The lab has new apparatus. | 实验室有新设备。
She nodded with approval. | 她点头表示赞同。
They had a long argument. | 他们争论了很久。
She studies modern art. | 她学现代艺术。
The attack came at dawn. | 攻击发生在黎明。
Make an attempt to succeed. | 努力尝试成功。
Pay attention to me. | 注意听我说。
The park is a main attraction. | 公园是主要景点。
The authority approved it. | 当局批准了。
My back is sore. | 我背疼。
Keep your balance. | 保持平衡。
The base of the lamp is heavy. | 灯的底座很重。
Good behavior is rewarded. | 良好的行为会受奖励。
It is my belief that he's right. | 我相信他是对的。
The birth of the baby was peaceful. | 宝宝平静地出生了。
Give me a bit of bread. | 给我一点面包。
Take a bite of the apple. | 咬一口苹果。
Blood flows through veins. | 血液流经血管。
The blow knocked him down. | 那一击把他打倒了。
Exercise keeps the body strong. | 运动让身体强壮。
The door handle is brass. | 门把手是黄铜的。
Bread and butter for breakfast. | 早餐吃面包和黄油。
Take a deep breath. | 深吸一口气。
My brother is older than me. | 我哥哥比我大。
The tall building has 30 floors. | 这座高楼有30层。
The burn on her hand healed. | 她手上的烧伤好了。
A burst of laughter filled the room. | 屋里突然爆发出笑声。
Business is good this year. | 今年生意很好。
Spread butter on the bread. | 在面包上抹黄油。
The painter prepared the canvas. | 画家准备好画布。
Take care of yourself. | 照顾好自己。
What is the cause of this? | 这是什么原因?
Write on the board with chalk. | 用粉笔在黑板上写。
Give me a chance. | 给我一个机会。
A change of plan is needed. | 需要改变计划。
Wipe the table with this cloth. | 用这块布擦桌子。
Coal is burned for heat. | 煤被烧来取暖。
What's your favorite color? | 你最喜欢什么颜色?
This chair gives me comfort. | 这把椅子让我舒适。
The committee voted yes. | 委员会投了赞成票。
She works for a tech company. | 她在一家科技公司工作。
By comparison, this is cheaper. | 相比之下,这个更便宜。
She won the competition. | 她赢得了比赛。
The car is in good condition. | 车况良好。
There's a connection between them. | 他们之间有联系。
Keep control of the car. | 控制好车。
The cook made dinner. | 厨师做了晚餐。
Copper wire conducts electricity. | 铜线导电。
Make a copy of this page. | 复印这一页。
Pull the cork from the bottle. | 把瓶塞拔出来。
This shirt is pure cotton. | 这件衬衫是纯棉的。
She has a bad cough. | 她咳嗽得厉害。
China is a large country. | 中国是一个大国。
The cover of the book is blue. | 书的封面是蓝色的。
There's a crack in the wall. | 墙上有道裂缝。
Buy on credit. | 赊账买。
Stealing is a crime. | 偷窃是犯罪。
Crush the garlic well. | 把蒜捣碎。
The baby gave a loud cry. | 宝宝大哭一声。
The river current is strong. | 河水的水流很急。
The road has a sharp curve. | 路上有个急转弯。
The storm caused damage. | 暴风雨造成了破坏。
Stay away from danger. | 远离危险。
Their daughter is six. | 他们的女儿六岁。
Have a nice day. | 祝你今天愉快。
His death was sudden. | 他的去世很突然。
He paid off all his debt. | 他还清了所有债务。
It's a hard decision. | 这是个艰难的决定。
It's 30 degrees today. | 今天三十度。
The dress has a nice design. | 这条裙子设计很好看。
She has a desire to travel. | 她渴望去旅行。
The destruction was total. | 全部被毁了。
Tell me every detail. | 告诉我每个细节。
The development of AI is fast. | AI 的发展很快。
Slow eating helps digestion. | 慢慢吃有助消化。
In which direction is north? | 哪个方向是北?
It was an exciting discovery. | 那是个令人激动的发现。
We had a long discussion. | 我们讨论了很久。
This disease is rare. | 这种病很罕见。
He looked at it with disgust. | 他厌恶地看着它。
